study_name,community_name,species_name
Leary and Petchey 2009,community-1,colpidium
Leary and Petchey 2009,community-1,loxocephallus
Leary and Petchey 2009,community-3,colpidium
Leary and Petchey 2009,community-3,tetrahymena
Leary and Petchey 2009,community-4,loxocephallus
Leary and Petchey 2009,community-4,paramecium
Leary and Petchey 2009,community-5,loxocephallus
Leary and Petchey 2009,community-5,tetrahymena
Leary and Petchey 2009,community-6,paramecium
Leary and Petchey 2009,community-6,tetrahymena
Leary and Petchey 2009,community-7,colpidium
Leary and Petchey 2009,community-7,loxocephallus
Leary and Petchey 2009,community-9,colpidium
Leary and Petchey 2009,community-9,tetrahymena
Leary and Petchey 2009,community-10,loxocephallus
Leary and Petchey 2009,community-10,paramecium
Leary and Petchey 2009,community-11,loxocephallus
Leary and Petchey 2009,community-11,tetrahymena
Leary and Petchey 2009,community-12,paramecium
Leary and Petchey 2009,community-12,tetrahymena
Leary and Petchey 2009,community-13,colpidium
Leary and Petchey 2009,community-13,loxocephallus
Leary and Petchey 2009,community-15,colpidium
Leary and Petchey 2009,community-15,tetrahymena
Leary and Petchey 2009,community-16,loxocephallus
Leary and Petchey 2009,community-16,paramecium
Leary and Petchey 2009,community-17,loxocephallus
Leary and Petchey 2009,community-17,tetrahymena
Leary and Petchey 2009,community-18,paramecium
Leary and Petchey 2009,community-18,tetrahymena
Leary and Petchey 2009,community-19,colpidium
Leary and Petchey 2009,community-19,loxocephallus
Leary and Petchey 2009,community-21,colpidium
Leary and Petchey 2009,community-21,tetrahymena
Leary and Petchey 2009,community-22,loxocephallus
Leary and Petchey 2009,community-22,paramecium
Leary and Petchey 2009,community-23,loxocephallus
Leary and Petchey 2009,community-23,tetrahymena
Leary and Petchey 2009,community-24,paramecium
Leary and Petchey 2009,community-24,tetrahymena
Leary and Petchey 2009,community-25,colpidium
Leary and Petchey 2009,community-25,loxocephallus
Leary and Petchey 2009,community-27,colpidium
Leary and Petchey 2009,community-27,tetrahymena
Leary and Petchey 2009,community-28,loxocephallus
Leary and Petchey 2009,community-28,paramecium
Leary and Petchey 2009,community-29,loxocephallus
Leary and Petchey 2009,community-29,tetrahymena
Leary and Petchey 2009,community-30,paramecium
Leary and Petchey 2009,community-30,tetrahymena
Leary and Petchey 2009,community-31,colpidium
Leary and Petchey 2009,community-31,loxocephallus
Leary and Petchey 2009,community-33,colpidium
Leary and Petchey 2009,community-33,tetrahymena
Leary and Petchey 2009,community-34,loxocephallus
Leary and Petchey 2009,community-34,paramecium
Leary and Petchey 2009,community-35,loxocephallus
Leary and Petchey 2009,community-35,tetrahymena
Leary and Petchey 2009,community-36,paramecium
Leary and Petchey 2009,community-36,tetrahymena
Leary and Petchey 2009,community-37,colpidium
Leary and Petchey 2009,community-37,loxocephallus
Leary and Petchey 2009,community-39,colpidium
Leary and Petchey 2009,community-39,tetrahymena
Leary and Petchey 2009,community-40,loxocephallus
Leary and Petchey 2009,community-40,paramecium
Leary and Petchey 2009,community-41,loxocephallus
Leary and Petchey 2009,community-41,tetrahymena
Leary and Petchey 2009,community-42,paramecium
Leary and Petchey 2009,community-42,tetrahymena
Leary and Petchey 2009,community-43,colpidium
Leary and Petchey 2009,community-43,loxocephallus
Leary and Petchey 2009,community-45,colpidium
Leary and Petchey 2009,community-45,tetrahymena
Leary and Petchey 2009,community-46,loxocephallus
Leary and Petchey 2009,community-46,paramecium
Leary and Petchey 2009,community-47,loxocephallus
Leary and Petchey 2009,community-47,tetrahymena
Leary and Petchey 2009,community-48,paramecium
Leary and Petchey 2009,community-48,tetrahymena
Leary and Petchey 2009,community-49,colpidium
Leary and Petchey 2009,community-49,loxocephallus
Leary and Petchey 2009,community-51,colpidium
Leary and Petchey 2009,community-51,tetrahymena
Leary and Petchey 2009,community-52,loxocephallus
Leary and Petchey 2009,community-52,paramecium
Leary and Petchey 2009,community-53,loxocephallus
Leary and Petchey 2009,community-53,tetrahymena
Leary and Petchey 2009,community-54,paramecium
Leary and Petchey 2009,community-54,tetrahymena
