study_id,community_id,environment_value,environment_time,environment_name
Leary and Petchey 2009,community-1,18,1,temperature
Leary and Petchey 2009,community-1,20,2,temperature
Leary and Petchey 2009,community-1,22,3,temperature
Leary and Petchey 2009,community-3,18,1,temperature
Leary and Petchey 2009,community-3,20,2,temperature
Leary and Petchey 2009,community-3,22,3,temperature
Leary and Petchey 2009,community-4,18,1,temperature
Leary and Petchey 2009,community-4,20,2,temperature
Leary and Petchey 2009,community-4,22,3,temperature
Leary and Petchey 2009,community-5,18,1,temperature
Leary and Petchey 2009,community-5,20,2,temperature
Leary and Petchey 2009,community-5,22,3,temperature
Leary and Petchey 2009,community-6,18,1,temperature
Leary and Petchey 2009,community-6,20,2,temperature
Leary and Petchey 2009,community-6,22,3,temperature
Leary and Petchey 2009,community-7,18,1,temperature
Leary and Petchey 2009,community-7,20,2,temperature
Leary and Petchey 2009,community-7,22,3,temperature
Leary and Petchey 2009,community-9,18,1,temperature
Leary and Petchey 2009,community-9,20,2,temperature
Leary and Petchey 2009,community-9,22,3,temperature
Leary and Petchey 2009,community-10,18,1,temperature
Leary and Petchey 2009,community-10,20,2,temperature
Leary and Petchey 2009,community-10,22,3,temperature
Leary and Petchey 2009,community-11,18,1,temperature
Leary and Petchey 2009,community-11,20,2,temperature
Leary and Petchey 2009,community-11,22,3,temperature
Leary and Petchey 2009,community-12,18,1,temperature
Leary and Petchey 2009,community-12,20,2,temperature
Leary and Petchey 2009,community-12,22,3,temperature
Leary and Petchey 2009,community-13,18,1,temperature
Leary and Petchey 2009,community-13,20,2,temperature
Leary and Petchey 2009,community-13,22,3,temperature
Leary and Petchey 2009,community-15,18,1,temperature
Leary and Petchey 2009,community-15,20,2,temperature
Leary and Petchey 2009,community-15,22,3,temperature
Leary and Petchey 2009,community-16,18,1,temperature
Leary and Petchey 2009,community-16,20,2,temperature
Leary and Petchey 2009,community-16,22,3,temperature
Leary and Petchey 2009,community-17,18,1,temperature
Leary and Petchey 2009,community-17,20,2,temperature
Leary and Petchey 2009,community-17,22,3,temperature
Leary and Petchey 2009,community-18,18,1,temperature
Leary and Petchey 2009,community-18,20,2,temperature
Leary and Petchey 2009,community-18,22,3,temperature
Leary and Petchey 2009,community-19,20,1,temperature
Leary and Petchey 2009,community-19,22,2,temperature
Leary and Petchey 2009,community-19,24,3,temperature
Leary and Petchey 2009,community-21,20,1,temperature
Leary and Petchey 2009,community-21,22,2,temperature
Leary and Petchey 2009,community-21,24,3,temperature
Leary and Petchey 2009,community-22,20,1,temperature
Leary and Petchey 2009,community-22,22,2,temperature
Leary and Petchey 2009,community-22,24,3,temperature
Leary and Petchey 2009,community-23,20,1,temperature
Leary and Petchey 2009,community-23,22,2,temperature
Leary and Petchey 2009,community-23,24,3,temperature
Leary and Petchey 2009,community-24,20,1,temperature
Leary and Petchey 2009,community-24,22,2,temperature
Leary and Petchey 2009,community-24,24,3,temperature
Leary and Petchey 2009,community-25,20,1,temperature
Leary and Petchey 2009,community-25,22,2,temperature
Leary and Petchey 2009,community-25,24,3,temperature
Leary and Petchey 2009,community-27,20,1,temperature
Leary and Petchey 2009,community-27,22,2,temperature
Leary and Petchey 2009,community-27,24,3,temperature
Leary and Petchey 2009,community-28,20,1,temperature
Leary and Petchey 2009,community-28,22,2,temperature
Leary and Petchey 2009,community-28,24,3,temperature
Leary and Petchey 2009,community-29,20,1,temperature
Leary and Petchey 2009,community-29,22,2,temperature
