day,microcosm,species,species.number,weight.1,weight.2,weight.3 ,weight.4,weight.5,count
1,1,colpidium,1,0.4119,3.0963,0.3913,1,1,46
1,1,loxocephallus,2,0.4119,3.0963,0.3913,1,1,57
1,2,colpidium,1,0.4817,2.6373,0.3186,1,1,32
1,2,paramecium,2,0.4817,2.6373,0.3186,1,1,10
1,3,colpidium,1,0.4049,3.1635,0.3231,1,1,35
1,3,tetrahymena,2,0.4049,3.1635,0.3231,1,1,22
1,4,loxocephallus,1,0.3304,1.2281,0.3207,1.6636,0.3809,67
1,4,paramecium,2,0.3304,1.2281,0.3207,1,1,33
1,5,loxocephallus,1,0.4277,3.455,0.3548,1,1,40
1,5,tetrahymena,2,0.4277,3.455,0.3548,1,1,40
1,6,paramecium,1,0.401,1.6384,0.3664,1,1,20
1,6,tetrahymena,2,0.401,1.6384,0.3664,1,1,59
1,7,colpidium,1,0.4143,3.0829,0.3919,1,1,33
1,7,loxocephallus,2,0.4143,3.0829,0.3919,1,1,50
1,8,colpidium,1,0.3411,2.6423,0.4035,1,1,21
1,8,paramecium,2,0.3411,2.6423,0.4035,1,1,6
1,9,colpidium,1,0.3825,3.0626,0.3519,1,1,52
1,9,tetrahymena,2,0.3825,3.0626,0.3519,1,1,39
1,10,loxocephallus,1,0.3617,0.9736,0.3788,1.2928,0.3328,37
1,10,paramecium,2,0.3617,0.9736,0.3788,1,1,5
1,11,loxocephallus,1,0.3493,3.0842,0.3244,1,1,70
1,11,tetrahymena,2,0.3493,3.0842,0.3244,1,1,41
1,12,paramecium,1,0.3324,0.9665,0.3487,1,1,14
1,12,tetrahymena,2,0.3324,0.9665,0.3487,2.5402,0.3839,13
1,13,colpidium,1,0.3723,2.7683,0.3174,1,1,33
1,13,loxocephallus,2,0.3723,2.7682,0.3174,1,1,32
1,14,colpidium,1,0.3518,1.1515,0.3491,1,1,81
1,14,paramecium,2,0.3518,1.1515,0.3491,1,1,13
1,15,colpidium,1,0.3746,3.4209,0.3652,1,1,27
1,15,tetrahymena,2,0.3746,3.4209,0.3652,1,1,36
1,16,loxocephallus,1,0.3489,1.9849,0.3334,1,1,89
1,16,paramecium,2,0.3489,1.9849,0.3334,1,1,9
1,17,loxocephallus,1,0.3713,3.2266,0.3583,1,1,70
1,17,tetrahymena,2,0.3713,3.2266,0.3583,1,1,37
1,18,paramecium,1,0.3387,2.7401,0.3427,1,1,13
1,18,tetrahymena,2,0.3387,2.7401,0.3427,1,1,41
1,19,colpidium,1,0.3897,3.1458,0.3575,1,1,35
1,19,loxocephallus,2,0.3897,3.1458,0.3575,1,1,38
1,20,colpidium,1,0.369,1.2956,0.3427,1,1,41
1,20,paramecium,2,0.369,1.2956,0.3427,1,1,8
1,21,colpidium,1,0.3527,3.0118,0.324,1,1,34
1,21,tetrahymena,2,0.3527,3.0118,0.324,1,1,32
